연번,계약번호,구분,계약명,계약일자,계약시작일,계약종료일,계약금액,거래처,계약방법,수의계약사유,구매요구부서,출처파일,시트명
56,,,발사체 연구개발 관리시스템 운용 지원 및 유지보수(2024년),2024-04-08,,,48576000.0,주식회사 이노팩토리,,,발사체체계종합연구부,14.+구매+계약현황(2024년).xlsx,Table 1
57,,,우주비행기 축소기 형상 검증용 3D 스캐너 구매,2024-02-26,,,25584700.0,주식회사 그린에스엔티,,,항공기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
58,,,항공우주기술 기반 예비창업지 지원 사업,2024-02-28,,,88200000.0,조슈아파트너스 주식회사,,,기술사업화실,14.+구매+계약현황(2024년).xlsx,Table 1
59,,,우주종합시험센터 음향 시험용 제어 소프트웨어 유지보수 및 T2S2 보드 구입,2024-02-23,,,39050000.0,싸이러스(주),,,위성총조립시험센터,14.+구매+계약현황(2024년).xlsx,Table 1
60,,,나로우주센터 및 제주추적소 자가용전기설비 안전점검용역,2024-02-28,,,68055190.0,(주)오성EM,,,시설안전기술부,14.+구매+계약현황(2024년).xlsx,Table 1
61,,,협의체 플랫폼 ASTX SW 유지보수,2024-02-23,,,23320000.0,대전조달청,,,위성활용부,14.+구매+계약현황(2024년).xlsx,Table 1
62,,,대역 확장 10G 네트워크 스위치 구매,2024-03-04,,,22282900.0,(주)아이티플랜,,,IT정보보안실,14.+구매+계약현황(2024년).xlsx,Table 1
63,,,MSC.APEX를 이용한 발사체 Iso/General Grid 패널 모델링 기술 개발,2024-02-27,,,72800000.0,한국엠에스씨소프트웨어(주),,,발사체기술연구1부,14.+구매+계약현황(2024년).xlsx,Table 1
64,,,육공복합 무인기용 BMS 제작 및 안전성시험 지원,2024-03-05,,,75400000.0,(주)인지이솔루션,,,기술총괄팀,14.+구매+계약현황(2024년).xlsx,Table 1
65,,,공력 MDO 서버 서브모듈 구매,2024-02-28,,,71445000.0,에이치피씨코리아(주),,,항공기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
66,,,초소형군집위성 분석산출물 서비스시스템 네트워크 스위치 및 전송서버,2024-02-28,,,64169000.0,(주)아이티플랜,,,위성활용부,14.+구매+계약현황(2024년).xlsx,Table 1
67,,,위성총조립시험센터 청정도 모니터링 측정 시스템 개선,2024-02-29,,,110380000.0,주식회사 마스,,,위성총조립시험센터,14.+구매+계약현황(2024년).xlsx,Table 1
68,,,"KPS 위성 개발 본체 전기, 기계 시스템 설계용 컴퓨터 및 물품 구매",2024-03-04,,,32150000.0,씨텍(C-TECH),,,KPS위성개발부,14.+구매+계약현황(2024년).xlsx,Table 1
69,,,전자탑재장치 측정 분석용 시험 장비,2024-03-05,,,28814940.0,만선테크,,,발사체기술연구2부,14.+구매+계약현황(2024년).xlsx,Table 1
70,,,우주용 광학카메라 복사특성측정장비(적분구) 수리 및 점검,2024-03-05,,,53350000.0,삼중과학(주),,,위성탑재체연구부,14.+구매+계약현황(2024년).xlsx,Table 1
71,,,터보펌프 실매질 시험설비 UPS 교체 용역,2024-03-18,,,29600000.0,국제통신공업,,,우주추진연구부,14.+구매+계약현황(2024년).xlsx,Table 1
72,,,"산학협력동 1,2층 EHP 구매 설치",2024-02-29,,,93184670.0,대전조달청,,,인프라종합지원실,14.+구매+계약현황(2024년).xlsx,Table 1
73,,,나로우주센터 자동제어시스템 유지관리용역,2024-04-01,,,33000000.0,한국하니웰(주),,,시설안전기술부,14.+구매+계약현황(2024년).xlsx,Table 1
74,,,K-UAM 실증 운용 아키텍쳐 설계를 위한 MBSE 소프트웨어 구매,2024-03-12,,,27982000.0,(주)이즈파크,,,UAM연구부,14.+구매+계약현황(2024년).xlsx,Table 1
75,,,다양한 발사체 발사운용을 위한 우주센터 3단계사업 사전 기획 용역,2024-03-07,,,38400000.0,주식회사 전략울림,,,운영관리실,14.+구매+계약현황(2024년).xlsx,Table 1
76,,,무인 비행체용 착륙장치 시험치구 설계/제작/설치,2024-03-04,,,769100000.0,이엠코리아(주) 창원지점,,,항공기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
77,,,2024년도 나로우주센터 재산종합보험,2024-03-16,,,59000540.0,메리츠화재해상보험주식회사,,,운영관리실,14.+구매+계약현황(2024년).xlsx,Table 1
78,,,한국형 위성항법시스템 위성1호(KPS-1) 배터리 릴레이 박스 및 버스바(EM/QM) 제작,2024-03-07,,,200508000.0,(주)이피에스텍,,,KPS위성개발부,14.+구매+계약현황(2024년).xlsx,Table 1
79,,,부가영상 생성 SW 유지보수,2024-03-07,,,32109000.0,(주)인디웨어,,,위성활용부,14.+구매+계약현황(2024년).xlsx,Table 1
80,,,부가처리시스템 SW 유지보수,2024-03-07,,,57794000.0,(주)인디웨어,,,위성활용부,14.+구매+계약현황(2024년).xlsx,Table 1
81,,,차세대발사체 추진기관시스템 동특성 해석 소프트웨어(EcosimPro) 구매,2024-03-06,,,61600000.0,플로우시스템 주식회사,,,발사체체계종합연구부,14.+구매+계약현황(2024년).xlsx,Table 1
82,,,항공우주 중소기업 기술정보교류 및 마케팅 지원사업,2024-03-07,,,144100000.0,(주)차이,,,기술사업화실,14.+구매+계약현황(2024년).xlsx,Table 1
83,,,차세대 발사체 액체로켓 엔진 열유동해석용 소프트웨어 리스(1년),2024-03-12,,,215000000.0,주식회사 유니앳,,,우주추진연구부,14.+구매+계약현황(2024년).xlsx,Table 1
84,,,2024년 임무관제 가상화시스템 유지보수,2024-03-11,,,49500000.0,(주)라온정보,,,위성운영1부,14.+구매+계약현황(2024년).xlsx,Table 1
85,,,성층권 드론(EAV-4) 비행시제 프로펠러,2024-03-07,,,335000000.0,성우엔지니어링,,,항공기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
86,,,발사시설 노후화 전기설비 개선(CTTS 노후부품 교체),2024-03-08,,,34650000.0,(주)한산이앤피,,,시설안전기술부,14.+구매+계약현황(2024년).xlsx,Table 1
87,,,대한민국 우주산업 클러스터 출범식 행사 전시 운영,2024-03-08,,,50000000.0,(주)블루컴,,,홍보실,14.+구매+계약현황(2024년).xlsx,Table 1
88,,,UAM 대역기 비행용역,2024-03-08,,,89500000.0,글로리아항공(주),,,UAM연구부,14.+구매+계약현황(2024년).xlsx,Table 1
89,,,"발사환경시험용 제어, 데이터수집 장치 점검 및 교정",2024-03-21,,,92566880.0,지멘스인더스트리소프트웨어 주식회사,,,위성총조립시험센터,14.+구매+계약현황(2024년).xlsx,Table 1
90,,,발사체 정보관리시스템 SW(Windchill) 기간제 라이선스 구매,2024-03-12,,,118000000.0,(주)제이투제이코리아,,,발사체체계종합연구부,14.+구매+계약현황(2024년).xlsx,Table 1
91,,,3단엔진 연소시험설비 테스트스탠드 작업대 구동 점검 및 보수 공사,2024-05-08,,,28400000.0,보스펙(주),,,우주추진연구부,14.+구매+계약현황(2024년).xlsx,Table 1
92,,,KPS 미터급 서비스 임무제어국 운영서비스 도구 개발 및 시스템 종합,2024-03-13,,,962000000.0,(주)솔탑,,,위성활용부,14.+구매+계약현황(2024년).xlsx,Table 1
93,,,천리안위성 2A호 임무관제(ITOS) 소프트웨어 기술용역,2024-03-14,,,38600000.0,(주)솔탑,,,위성운영2부,14.+구매+계약현황(2024년).xlsx,Table 1
94,,,해양경찰 위성활용시스템 기반 기술 개발을 위한 해외위성 AIS 자료 구매,2024-03-13,,,38030000.0,주식회사 아이엠아이씨티,,,SSA연구실,14.+구매+계약현황(2024년).xlsx,Table 1
95,,,공공복합통신위성 전기설계용 CADvizor Logic 라이선스 사용료(1년),2024-03-27,,,21450000.0,(주)제이투제이코리아,,,공공복합통신위성사업단,14.+구매+계약현황(2024년).xlsx,Table 1
96,,,차세대발사체 형상설계용 3D CAD 프로그램 사용자 기간제 라이센스,2024-03-21,,,137500000.0,(주)제이투제이코리아,,,발사체체계종합연구부,14.+구매+계약현황(2024년).xlsx,Table 1
97,,,다목적실용위성7A호 임무 및 전기시스템 개발을 위한 MATLAB 추가 및 유지보수,2024-03-14,,,23555840.0,매스웍스코리아 유한회사,,,다목적실용위성7A호사업실,14.+구매+계약현황(2024년).xlsx,Table 1
98,,,천리안위성 2A호 임무관제 및 전처리 소프트웨어 기술용역,2024-03-18,,,265000000.0,(주)쎄트렉아이,,,위성운영2부,14.+구매+계약현황(2024년).xlsx,Table 1
99,,,한국형발사체 고도화사업 Flomaster 제품 갱신 및 유지보수,2024-03-18,,,22550000.0,플로우마스터코리아(주),,,발사체체계종합연구부,14.+구매+계약현황(2024년).xlsx,Table 1
100,,,차세대중형위성 5호 반사판 안테나 설계 및 분석 소프트웨어 유지보수,2024-03-18,,,32175000.0,주식회사엠티지,,,위성탑재체연구부,14.+구매+계약현황(2024년).xlsx,Table 1
101,,,지원시설 노후시설 개선(과학화보안장비 개선),2024-03-13,,,21021000.0,대신네트웍스(주),,,시설안전기술부,14.+구매+계약현황(2024년).xlsx,Table 1
102,,,데이터 통계분석 S/W,2024-03-14,,,26515860.0,에스지에스,,,위성활용부,14.+구매+계약현황(2024년).xlsx,Table 1
103,,,내추락 해석 장비,2024-03-14,,,132880000.0,에이치피씨코리아(주),,,항공기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
104,,,"연소식 공기 가열기(VAH) 설계, 제작 및 설치",2024-03-15,,,45760000.0,(주)연성,,,항공추진연구부,14.+구매+계약현황(2024년).xlsx,Table 1
105,,,재진입 비행체 공력 DB 계산 코드 개발,2024-03-15,,,156800000.0,경희대학교산학협력단,,,UAM연구부,14.+구매+계약현황(2024년).xlsx,Table 1
106,,,2024년도 달궤도선 임무운영센터 전산장비 유지보수 용역,2024-03-20,,,53460000.0,(주)라온정보,,,위성우주탐사체계설계부,14.+구매+계약현황(2024년).xlsx,Table 1
107,,,친환경 수직이착륙기의 지상통제장비(GCS) 운용 및 정비 용역,2024-03-15,,,95000000.0,한국항공우주산업(주),,,UAM연구부,14.+구매+계약현황(2024년).xlsx,Table 1
108,,,구조해석 프로그램 라이선스 유지보수 (MSC Masterkey),2024-03-15,,,46200000.0,한국엠에스씨소프트웨어(주),,,항공기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
109,,,차세대발사체 성능검증을 위한 달 전이 궤도상 기술검증선 상세기획,2024-03-14,,,68600000.0,(주)테크노베이션파트너스,,,연구조정실(발사체),14.+구매+계약현황(2024년).xlsx,Table 1
110,,,천리안위성 2A호 기하보정(INR) 소프트웨어 기술용역,2024-03-20,,,83336000.0,(주)인코인,,,위성운영2부,14.+구매+계약현황(2024년).xlsx,Table 1
111,,,천리안위성 2A호 영상배포 소프트웨어 기술용역,2024-03-20,,,79550000.0,(주)지솔루션,,,위성운영2부,14.+구매+계약현황(2024년).xlsx,Table 1
112,,,차세대발사체 구조사이징을 위한 HyperX 소프트웨어 구매,2024-03-25,,,106000000.0,주식회사 에이서스,,,발사체기술연구1부,14.+구매+계약현황(2024년).xlsx,Table 1
113,,,해양경찰 위성활용시스템 UX/UI 및 시스템 구조 설계 연구,2024-03-20,,,280000000.0,슈퍼히어로컴퍼니,,,SSA연구실,14.+구매+계약현황(2024년).xlsx,Table 1
114,,,2024년 천리안위성 2B호 실시간 운영시스템(ITOS) 유지보수 기술용역,2024-03-26,,,38100000.0,(주)솔탑,,,SSA연구실,14.+구매+계약현황(2024년).xlsx,Table 1
115,,,2024년도 달궤도선 지상시스템 네트워크장비 유지보수 용역,2024-03-21,,,58000000.0,(주)새암정보기술,,,위성우주탐사체계설계부,14.+구매+계약현황(2024년).xlsx,Table 1
116,,,통합행정정보시스템 이용자 편의 기능 개선 용역,2024-03-20,,,49000000.0,(주)아이비데이타,,,IT정보보안실,14.+구매+계약현황(2024년).xlsx,Table 1
117,,,한국형발사체 고도화사업 3차년도 체계관리시스템 운영 지원 및 유지보수,2024-03-20,,,40800000.0,에스앤에스이앤지(주),,,발사체체계종합연구부,14.+구매+계약현황(2024년).xlsx,Table 1
118,,,425위성 및 다목적실용위성7A호 발사환경시험용 가속도센서 및 케이블 구매,2024-03-22,,,140046060.0,(주)천화,,,위성총조립시험센터,14.+구매+계약현황(2024년).xlsx,Table 1
119,,,차세대발사체 터보펌프 가속도 센서용 In-line Charge Converter 구매,2024-03-21,,,45480000.0,(주)켐온싸이언스,,,우주추진연구부,14.+구매+계약현황(2024년).xlsx,Table 1
120,,,2024년도 연구원(대전 본원) 가스 10종 단가계약,2024-03-22,,,377086870.0,석전의료공업(주),,,위성총조립시험센터,14.+구매+계약현황(2024년).xlsx,Table 1
121,,,425위성 전자파시험 및 분석을 위한 워크스테이션 구매,2024-03-27,,,20740000.0,주식회사 한솔티에스,,,위성총조립시험센터,14.+구매+계약현황(2024년).xlsx,Table 1
122,,,비행갑판 유동분포 풍동시험 데이터 수집 시스템 구매,2024-03-20,,,52459000.0,스펙트리스코리아주식회사,,,항공기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
123,,,한국형 위성항법시스템(KPS1) 위성 1호기 플룸 해석을 위한 S/W (SYSTEMA-Plume V4),2024-03-25,,,37180000.0,에이블맥스(주),,,위성기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
124,,,제주추적소 원격자료 수신장비 유지보수 용역,2024-03-21,,,36970000.0,(주)루맥스에어로스페이스,,,비행안전기술부,14.+구매+계약현황(2024년).xlsx,Table 1
125,,,기존 공력해석 결과를 활용한 Hammer head 형상 및 멀티 엔진 발사체의 비행중 공력 특성 전산유동해석,2024-03-22,,,97400000.0,지멘스인더스트리소프트웨어 주식회사,,,발사체기술연구1부,14.+구매+계약현황(2024년).xlsx,Table 1
126,,,KPS 인공위성 DIY 레고 모형,2024-04-04,,,27600000.0,청년 교육 사회적협동조합 씨드콥,,,사업관리·체계종합부,14.+구매+계약현황(2024년).xlsx,Table 1
127,,,우주개발 중장기 홍보전략 수립 용역,2024-03-22,,,71200000.0,(주)윈지코리아컨설팅,,,홍보실,14.+구매+계약현황(2024년).xlsx,Table 1
128,,,위성영상자료 저장장치 증설,2024-03-26,,,107800000.0,(주)라온정보,,,위성운영1부,14.+구매+계약현황(2024년).xlsx,Table 1
129,,,한국형 발사체 기술지원플랫폼 건설공사 관급자재(철근) 구매,2024-03-22,,,474319390.0,대전조달청,,,인프라종합지원실,14.+구매+계약현황(2024년).xlsx,Table 1
130,,,한국형 발사체 기술지원플랫폼 건설공사 관급자재(레미콘) 구매,2024-03-22,,,527433720.0,대전조달청,,,인프라종합지원실,14.+구매+계약현황(2024년).xlsx,Table 1
131,,,다중 위성항법 신호 수신기,2024-04-03,,,24024000.0,인성인터내쇼날주식회사,,,위성항법연구부,14.+구매+계약현황(2024년).xlsx,Table 1
132,,,한국형발사체 고도화사업 페어링 내부 소음 저감용 카울 개발시제 제작,2024-03-26,,,30200000.0,하이즈복합재산업 주식회사,,,발사체기술연구1부,14.+구매+계약현황(2024년).xlsx,Table 1
133,,,항공용 장애물 추적 및 분류 소프트웨어 개발,2024-03-27,,,50490000.0,(주)뷰런테크놀로지,,,무인기연구부,14.+구매+계약현황(2024년).xlsx,Table 1
134,,,2024년 연구성과 영상 콘텐츠 제작용역,2024-03-26,,,93377050.0,247스튜디오,,,홍보실,14.+구매+계약현황(2024년).xlsx,Table 1
135,,,한국형위성항법시스템(KPS) 위성 전력 공급 및 발사 지원용 전기지상지원장비 개발,2024-04-04,,,4235000000.0,에이피위성(주),,,위성총조립시험센터,14.+구매+계약현황(2024년).xlsx,Table 1
136,,,(고도화사업#35)한국형발사체 고도화 구조 시험 치구 보관/관리 용역 (2024),2024-03-27,,,21088980.0,더블유에스엔지니어링 주식회사,,,발사체기술연구1부,14.+구매+계약현황(2024년).xlsx,Table 1
137,,,우주센터 발사체종합조립동(구) 시스템냉난방기 구매,2024-03-27,,,39650590.0,광주지방조달청,,,시설안전기술부,14.+구매+계약현황(2024년).xlsx,Table 1
138,,,기술이전 및 상품화 계약 사후관리 지원 용역,2024-03-27,,,28000000.0,(주)디알아이피,,,기술사업화실,14.+구매+계약현황(2024년).xlsx,Table 1
139,,,Abaqus(엔진구조해석용) 1년 임차 구매,2024-03-28,,,94050000.0,피엘엠테크 주식회사,,,우주추진연구부,14.+구매+계약현황(2024년).xlsx,Table 1
140,,,한국형발사체 고도화사업 롤아웃 전용 이동형 온도제어유닛(MTU) 및 발전기 시스템 설계제작설치,2024-04-08,,,1379000000.0,(주)에너베스트,,,발사체기술연구1부,14.+구매+계약현황(2024년).xlsx,Table 1
141,,,차세대발사체 터보펌프 고온용 가속도 센서 구매,2024-03-29,,,24970000.0,(주)켐온싸이언스,,,우주추진연구부,14.+구매+계약현황(2024년).xlsx,Table 1
142,,,팔라우추적소 위성통신망(VSAT) 재청약,2024-04-01,,,578041200.0,(주)케이티샛,,,비행안전기술부,14.+구매+계약현황(2024년).xlsx,Table 1
143,,,궤도상 서비싱 위성 상대운동 모사용 협동로봇 구매,2024-03-29,,,28400000.0,(주)현세엔티아이,,,KPS위성개발부,14.+구매+계약현황(2024년).xlsx,Table 1
144,,,KPS 위성 1호기 개발 설계를 위한 CATIA 연간 유지보수 계약,2024-03-29,,,36900000.0,그린텍,,,KPS위성개발부,14.+구매+계약현황(2024년).xlsx,Table 1
145,,,Abaqus Portfolio Package(연소기 및 예연소기 구조해석용) 구매,2024-04-01,,,135740000.0,(주)브이이엔지,,,우주추진연구부,14.+구매+계약현황(2024년).xlsx,Table 1
146,,,"다목적실용위성6호 위성본체개발 구조계 업무 관련 프로그램(NX, 구I-DEAS) 유지보수",2024-03-28,,,21670000.0,(주)키미이에스,,,위성기술연구부,14.+구매+계약현황(2024년).xlsx,Table 1
147,,,열유동 해석 상용 소프트웨어 Ansys CFD Premium 구매,2024-03-29,,,115500000.0,(주)태성에스엔이,,,우주추진연구부,14.+구매+계약현황(2024년).xlsx,Table 1
